Date,California,Texas,Florida,New York,Pennsylvania,Illinois,Ohio,Georgia,North Carolina,Michigan,New Jersey,Virginia,Washington,Arizona,Massachusetts,Tennessee,Indiana,Maryland,Missouri,Wisconsin,Colorado,Minnesota,South Carolina,Alabama,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Utah,Iowa,Nevada,Arkansas,Mississippi,Kansas,New Mexico,Nebraska,Idaho,West Virginia,Hawaii,New Hampshire,Maine,Rhode Island,Montana,Delaware,South Dakota,North Dakota,Alaska,District of Columbia,Vermont,Wyoming
11/30/2020,584079.3371,225811.9433,264308.8214,368973.6254,205163.0976,202906.7323,169262.9716,223495.8317,227667.0523,184278.5732,376201.9917,293765.7598,446337.7692,308337.1642,455759.7636,221388.1974,172722.9492,334693.784,181476.755,222598.8231,418479.3893,269251.5719,207783.3135,174823.8228,190104.924,155547.4215,391191.3079,150907.9733,277582.9513,383243.68,170671.8511,318624.911,159216.3117,147442.5126,166515.0448,218742.0731,194029.023,329717.1835,128076.5396,637615.999,314666.2792,270616.3298,321926.6882,305547.3123,286222.0532,223997.7906,225023.3714,309874.3828,605812.1485,283353.7933,271914.4354
12/31/2020,594784.1325,228469.8056,267797.3038,373899.2843,208198.3902,205261.2512,171958.2899,227147.7563,231348.1459,186899.1193,382204.6703,297681.889,454058.8629,313804.336,463075.2976,224272.3816,175313.6749,338857.5202,183957.0279,225360.6071,424023.7164,272753.5913,210514.0863,176767.3445,190621.4292,157616.4931,398069.8848,153142.104,282705.1164,390676.2518,171893.3294,322687.9492,160584.6281,148263.3077,167986.1747,221529.1469,196223.6561,339387.2609,130259.4162,644842.5816,320660.3735,276099.1733,327740.7234,312010.5319,291579.2729,226428.995,225292.0015,311455.8873,609620.409,287021.2586,274434.4855
1/31/2021,603673.2415,231260.0388,271407.8253,378562.007,210992.9512,207593.6975,174321.7317,230805.949,234844.6863,189593.3629,387798.9076,301264.8392,461555.1353,319189.3361,469691.0792,227159.91,177704.2503,342713.973,186100.6987,227654.3751,429359.0412,275971.5273,213067.3439,178584.6195,190973.2198,159363.6344,404840.7563,155243.8517,287543.2892,398132.9761,172817.5646,326836.4901,161914.721,149293.105,169403.986,224253.2127,198413.3432,349803.784,132390.4146,651630.3701,326387.4814,281186.9398,333169.9707,318650.7956,296849.6928,228682.6733,225705.6902,312492.9846,612349.1818,290907.2316,276847.3071
2/28/2021,611278.633,234232.1185,275004.9172,383427.6385,213720.8095,210139.6977,176545.5954,234615.2854,238447.7344,192540.8645,393484.1583,304822.3081,469676.38,324783.3726,476234.5718,230268.7848,180108.7392,346916.1373,188331.7209,229888.8023,435404.9624,279241.7004,215689.3642,180467.6921,191688.1727,160980.687,411990.0079,157165.0737,292210.9642,406272.9253,173874.6144,331234.6579,163359.9459,150580.4244,170934.4533,227427.2947,200783.4255,361381.6439,134404.1042,658327.3719,332385.697,286110.2726,338838.1631,325654.3749,302045.1683,231143.5195,226238.3915,313053.3046,614656.6748,295234.4686,279234.6464
3/31/2021,618168.4887,237597.1439,278848.7041,387974.0239,216560.2722,212735.9863,178833.9605,238609.0188,242129.8625,195673.2244,398736.9802,308435.4499,478721.2605,331327.4108,482845.8762,233569.1503,182860.8492,351549.6202,190990.9682,232034.1009,442746.2596,282502.4795,218400.6681,182522.5697,192585.8914,162595.8925,419644.929,159033.5919,296757.2369,415304.5593,175188.4803,336350.3997,165095.2245,152111.0595,172870.7572,230836.0592,203473.7017,374335.3819,136475.3988,665424.7502,338580.3789,290846.941,344729.4506,333404.5693,306344.3463,233811.9306,226691.1592,313296.5556,617919.9445,298955.3425,281979.4901
4/30/2021,627188.2253,241331.5411,283123.1999,392198.1598,219472.2475,215182.211,181296.324,242782.2782,246128.2454,198890.8341,404105.3903,312307.4469,489006.9351,338984.5416,490196.3884,237161.9115,185824.2233,356572.1341,194158.7996,234688.3333,451287.7402,286133.2542,221244.1675,184810.4,193508.7266,164267.7742,427679.3353,160874.5437,301249.2862,425429.2435,176884.4792,342363.525,167021.9275,153875.4641,175166.539,234423.2721,206477.6953,388269.7377,138202.2012,674136.6443,345547.8317,296041.8558,351211.6719,342196.5707,310502.3205,236987.366,227566.1199,314173.7271,622267.3805,302679.2988,284989.6634
5/31/2021,637988.8119,245605.1804,288296.0203,396421.0228,222396.9961,217381.7102,183880.9904,247285.5829,250625.5356,202187.0756,409375.1458,316426.1262,499513.6585,348123.3927,497865.8875,241269.8867,188893.0387,361467.3068,197506.3946,238313.6409,460525.1682,290230.6888,224557.5673,187378.5443,194436.3171,166070.3205,435545.2799,162788.4293,305928.5217,436673.6127,178833.9424,349585.4643,169182.6465,155811.7691,177807.2848,237978.451,209687.9412,402735.2712,139683.7081,684443.3664,352854.215,301980.4239,357760.9988,352130.4089,314614.6328,240802.8113,229086.9679,316113.0865,627530.357,307611.0874,287811.8462
6/30/2021,649585.0525,250177.7166,294628.8726,400376.0986,225463.262,219674.1466,186538.1573,252166.5885,255696.2914,205601.3172,414592.3053,320485.8926,509369.6063,358169.9823,505121.6698,246339.7451,191969.0236,365797.4667,200738.5519,242591.9362,469596.3084,294701.0335,228441.9602,190312.8818,195655.1612,168124.9846,442675.4347,164884.6953,310621.0231,448059.6814,180940.4589,357824.5454,171704.4114,157947.6598,180511.2686,241578.9564,212831.4225,415813.1098,141215.9139,696068.2714,360058.4709,308798.631,363907.0106,362104.9753,319166.8472,245082.4768,231279.9683,318760.3694,632531.6171,313997.8157,290248.3161
7/31/2021,660065.983,254372.6087,301114.0159,403870.3474,227687.5801,221625.2097,188407.7866,256596.6676,260408.2003,208169.8547,419249.1187,323548.5234,517376.4901,368178.8009,510045.3337,251435.6245,194641.1959,368821.8547,203081.1895,246399.984,477166.096,298598.7979,232360.0777,193222.0306,196620.8782,169945.966,448862.6675,166671.2707,314080.9931,458459.6239,182822.9125,366329.6531,174298.3761,160116.7914,182815.6236,244754.0863,215102.0136,426399.197,141955.3933,706225.0207,365502.1167,315164.9192,368307.8891,371074.0961,322775.6613,249312.8484,233368.2575,322570.1852,634920.421,321345.3129,292439.6242
8/31/2021,667317.2691,257570.305,306883.4703,406000.6224,228551.5345,222761.9007,189044.8242,260094.7143,263885.4158,209282.7436,422353.8396,325165.7909,522259.9139,376979.3877,511714.4615,255392.2957,196376.4475,370246.9821,204280.6193,248337.999,482381.0641,300757.7309,235447.1438,195493.873,196884.0255,171138.7092,453295.9512,168058.6506,315513.4607,466518.8578,183997.9307,373864.4349,176532.4444,162012.7738,184356.1688,247232.3724,216010.7171,433291.6933,141827.3436,712869.7656,367669.3497,319109.8296,370444.7552,378295.2187,324790.5814,252399.5398,234765.0692,325973.482,634029.396,326036.0637,294418.3697
